Instant,Date,Hour,Month,Day,Holiday,Weekday,WorkingDay,Total Parking Spaces,No of parking spaces left,Free Spaces  %,Occupancy
91,4-Feb-17,18,2,Saturday,1,6,0,100,60,60,40
92,4-Feb-17,19,2,Saturday,1,6,0,100,72,72,28
93,4-Feb-17,20,2,Saturday,1,6,0,100,80,80,20
94,4-Feb-17,21,2,Saturday,1,6,0,100,90,90,10
95,4-Feb-17,22,2,Saturday,1,6,0,100,96,96,4
96,4-Feb-17,23,2,Saturday,1,6,0,100,96,96,4
97,5-Feb-17,0,2,Sunday,1,7,0,100,96,96,4
98,5-Feb-17,1,2,Sunday,1,7,0,100,96,96,4
99,5-Feb-17,2,2,Sunday,1,7,0,100,96,96,4
100,5-Feb-17,3,2,Sunday,1,7,0,100,96,96,4
101,5-Feb-17,4,2,Sunday,1,7,0,100,96,96,4
102,5-Feb-17,5,2,Sunday,1,7,0,100,96,96,4
103,5-Feb-17,6,2,Sunday,1,7,0,100,90,90,10
104,5-Feb-17,7,2,Sunday,1,7,0,100,80,80,20
105,5-Feb-17,8,2,Sunday,1,7,0,100,60,60,40
106,5-Feb-17,9,2,Sunday,1,7,0,100,55,55,45
107,5-Feb-17,10,2,Sunday,1,7,0,100,45,45,55
108,5-Feb-17,11,2,Sunday,1,7,0,100,45,45,55
109,5-Feb-17,12,2,Sunday,1,7,0,100,45,45,55
110,5-Feb-17,13,2,Sunday,1,7,0,100,45,45,55
111,5-Feb-17,14,2,Sunday,1,7,0,100,45,45,55
112,5-Feb-17,15,2,Sunday,1,7,0,100,45,45,55
113,5-Feb-17,16,2,Sunday,1,7,0,100,56,56,44
114,5-Feb-17,17,2,Sunday,1,7,0,100,68,68,32
115,5-Feb-17,18,2,Sunday,1,7,0,100,70,70,30
116,5-Feb-17,19,2,Sunday,1,7,0,100,78,78,22
117,5-Feb-17,20,2,Sunday,1,7,0,100,80,80,20
118,5-Feb-17,21,2,Sunday,1,7,0,100,90,90,10
119,5-Feb-17,22,2,Sunday,1,7,0,100,97,97,3
120,5-Feb-17,23,2,Sunday,1,7,0,100,97,97,3
121,6-Feb-17,0,2,Monday,0,1,1,100,97,97,3
122,6-Feb-17,1,2,Monday,0,1,1,100,97,97,3
123,6-Feb-17,2,2,Monday,0,1,1,100,97,97,3
124,6-Feb-17,3,2,Monday,0,1,1,100,97,97,3
125,6-Feb-17,4,2,Monday,0,1,1,100,97,97,3
126,6-Feb-17,5,2,Monday,0,1,1,100,97,97,3
127,6-Feb-17,6,2,Monday,0,1,1,100,80,80,20
128,6-Feb-17,7,2,Monday,0,1,1,100,60,60,40
129,6-Feb-17,8,2,Monday,0,1,1,100,12,12,88
130,6-Feb-17,9,2,Monday,0,1,1,100,10,10,90
131,6-Feb-17,10,2,Monday,0,1,1,100,0,0,100
132,6-Feb-17,11,2,Monday,0,1,1,100,0,0,100
133,6-Feb-17,12,2,Monday,0,1,1,100,0,0,100
134,6-Feb-17,13,2,Monday,0,1,1,100,0,0,100
135,6-Feb-17,14,2,Monday,0,1,1,100,0,0,100
136,6-Feb-17,15,2,Monday,0,1,1,100,3,3,97
137,6-Feb-17,16,2,Monday,0,1,1,100,5,5,95
138,6-Feb-17,17,2,Monday,0,1,1,100,6,6,94
139,6-Feb-17,18,2,Monday,0,1,1,100,14,14,86
140,6-Feb-17,19,2,Monday,0,1,1,100,28,28,72
141,6-Feb-17,20,2,Monday,0,1,1,100,30,30,70
142,6-Feb-17,21,2,Monday,0,1,1,100,37,37,63
143,6-Feb-17,22,2,Monday,0,1,1,100,80,80,20
144,6-Feb-17,23,2,Monday,0,1,1,100,95,95,5
145,7-Feb-17,0,2,Tuesday,0,2,1,100,95,95,5
146,7-Feb-17,1,2,Tuesday,0,2,1,100,95,95,5
147,7-Feb-17,2,2,Tuesday,0,2,1,100,95,95,5
148,7-Feb-17,3,2,Tuesday,0,2,1,100,95,95,5
149,7-Feb-17,4,2,Tuesday,0,2,1,100,95,95,5
150,7-Feb-17,5,2,Tuesday,0,2,1,100,95,95,5
151,7-Feb-17,6,2,Tuesday,0,2,1,100,80,80,20
152,7-Feb-17,7,2,Tuesday,0,2,1,100,70,70,30
153,7-Feb-17,8,2,Tuesday,0,2,1,100,30,30,70
154,7-Feb-17,9,2,Tuesday,0,2,1,100,10,10,90
155,7-Feb-17,10,2,Tuesday,0,2,1,100,0,0,100
156,7-Feb-17,11,2,Tuesday,0,2,1,100,0,0,100
157,7-Feb-17,12,2,Tuesday,0,2,1,100,0,0,100
158,7-Feb-17,13,2,Tuesday,0,2,1,100,0,0,100
159,7-Feb-17,14,2,Tuesday,0,2,1,100,0,0,100
160,7-Feb-17,15,2,Tuesday,0,2,1,100,0,0,100
161,7-Feb-17,16,2,Tuesday,0,2,1,100,5,5,95
162,7-Feb-17,17,2,Tuesday,0,2,1,100,8,8,92
163,7-Feb-17,18,2,Tuesday,0,2,1,100,14,14,86
164,7-Feb-17,19,2,Tuesday,0,2,1,100,30,30,70
165,7-Feb-17,20,2,Tuesday,0,2,1,100,60,60,40
166,7-Feb-17,21,2,Tuesday,0,2,1,100,80,80,20
167,7-Feb-17,22,2,Tuesday,0,2,1,100,97,97,3
168,7-Feb-17,23,2,Tuesday,0,2,1,100,97,97,3
169,8-Feb-17,0,2,Wednesday,0,3,1,100,97,97,3
170,8-Feb-17,1,2,Wednesday,0,3,1,100,97,97,3
171,8-Feb-17,2,2,Wednesday,0,3,1,100,97,97,3
172,8-Feb-17,3,2,Wednesday,0,3,1,100,97,97,3
173,8-Feb-17,4,2,Wednesday,0,3,1,100,97,97,3
174,8-Feb-17,5,2,Wednesday,0,3,1,100,97,97,3
175,8-Feb-17,6,2,Wednesday,0,3,1,100,80,80,20
176,8-Feb-17,7,2,Wednesday,0,3,1,100,60,60,40
177,8-Feb-17,8,2,Wednesday,0,3,1,100,12,12,88
178,8-Feb-17,9,2,Wednesday,0,3,1,100,10,10,90
179,8-Feb-17,10,2,Wednesday,0,3,1,100,0,0,100
180,8-Feb-17,11,2,Wednesday,0,3,1,100,0,0,100
181,8-Feb-17,12,2,Wednesday,0,3,1,100,0,0,100
182,8-Feb-17,13,2,Wednesday,0,3,1,100,0,0,100
183,8-Feb-17,14,2,Wednesday,0,3,1,100,0,0,100
184,8-Feb-17,15,2,Wednesday,0,3,1,100,3,3,97
185,8-Feb-17,16,2,Wednesday,0,3,1,100,5,5,95
186,8-Feb-17,17,2,Wednesday,0,3,1,100,6,6,94
187,8-Feb-17,18,2,Wednesday,0,3,1,100,14,14,86
188,8-Feb-17,19,2,Wednesday,0,3,1,100,28,28,72
189,8-Feb-17,20,2,Wednesday,0,3,1,100,30,30,70
190,8-Feb-17,21,2,Wednesday,0,3,1,100,37,37,63
191,8-Feb-17,22,2,Wednesday,0,3,1,100,80,80,20
192,8-Feb-17,23,2,Wednesday,0,3,1,100,98,98,2
193,9-Feb-17,0,2,Thursday,0,4,1,100,98,98,2
194,9-Feb-17,1,2,Thursday,0,4,1,100,98,98,2
195,9-Feb-17,2,2,Thursday,0,4,1,100,98,98,2
196,9-Feb-17,3,2,Thursday,0,4,1,100,98,98,2
197,9-Feb-17,4,2,Thursday,0,4,1,100,98,98,2
198,9-Feb-17,5,2,Thursday,0,4,1,100,98,98,2
199,9-Feb-17,6,2,Thursday,0,4,1,100,80,80,20
200,9-Feb-17,7,2,Thursday,0,4,1,100,60,60,40
201,9-Feb-17,8,2,Thursday,0,4,1,100,12,12,88
202,9-Feb-17,9,2,Thursday,0,4,1,100,10,10,90
203,9-Feb-17,10,2,Thursday,0,4,1,100,0,0,100
204,9-Feb-17,11,2,Thursday,0,4,1,100,0,0,100
205,9-Feb-17,12,2,Thursday,0,4,1,100,0,0,100
206,9-Feb-17,13,2,Thursday,0,4,1,100,0,0,100
207,9-Feb-17,14,2,Thursday,0,4,1,100,0,0,100
208,9-Feb-17,15,2,Thursday,0,4,1,100,3,3,97
209,9-Feb-17,16,2,Thursday,0,4,1,100,5,5,95
210,9-Feb-17,17,2,Thursday,0,4,1,100,6,6,94
211,9-Feb-17,18,2,Thursday,0,4,1,100,14,14,86
212,9-Feb-17,19,2,Thursday,0,4,1,100,28,28,72
213,9-Feb-17,20,2,Thursday,0,4,1,100,30,30,70
214,9-Feb-17,21,2,Thursday,0,4,1,100,37,37,63
215,9-Feb-17,22,2,Thursday,0,4,1,100,80,80,20
216,9-Feb-17,23,2,Thursday,0,4,1,100,95,95,5
217,10-Feb-17,0,2,Friday,0,5,1,100,95,95,5
218,10-Feb-17,1,2,Friday,0,5,1,100,95,95,5
219,10-Feb-17,2,2,Friday,0,5,1,100,95,95,5
220,10-Feb-17,3,2,Friday,0,5,1,100,95,95,5
221,10-Feb-17,4,2,Friday,0,5,1,100,95,95,5
222,10-Feb-17,5,2,Friday,0,5,1,100,95,95,5
223,10-Feb-17,6,2,Friday,0,5,1,100,80,80,20
224,10-Feb-17,7,2,Friday,0,5,1,100,60,60,40
225,10-Feb-17,8,2,Friday,0,5,1,100,12,12,88
226,10-Feb-17,9,2,Friday,0,5,1,100,10,10,90
227,10-Feb-17,10,2,Friday,0,5,1,100,0,0,100
228,10-Feb-17,11,2,Friday,0,5,1,100,0,0,100
229,10-Feb-17,12,2,Friday,0,5,1,100,0,0,100
230,10-Feb-17,13,2,Friday,0,5,1,100,0,0,100
231,10-Feb-17,14,2,Friday,0,5,1,100,0,0,100
232,10-Feb-17,15,2,Friday,0,5,1,100,3,3,97
233,10-Feb-17,16,2,Friday,0,5,1,100,5,5,95
234,10-Feb-17,17,2,Friday,0,5,1,100,6,6,94
235,10-Feb-17,18,2,Friday,0,5,1,100,14,14,86
236,10-Feb-17,19,2,Friday,0,5,1,100,28,28,72
237,10-Feb-17,20,2,Friday,0,5,1,100,30,30,70
238,10-Feb-17,21,2,Friday,0,5,1,100,37,37,63
239,10-Feb-17,22,2,Friday,0,5,1,100,80,80,20
240,10-Feb-17,23,2,Friday,0,5,1,100,95,95,5
241,11-Feb-17,0,2,Saturday,1,6,0,100,95,95,5
242,11-Feb-17,1,2,Saturday,1,6,0,100,95,95,5
243,11-Feb-17,2,2,Saturday,1,6,0,100,95,95,5
244,11-Feb-17,3,2,Saturday,1,6,0,100,95,95,5
245,11-Feb-17,4,2,Saturday,1,6,0,100,95,95,5
246,11-Feb-17,5,2,Saturday,1,6,0,100,95,95,5
247,11-Feb-17,6,2,Saturday,1,6,0,100,80,80,20
248,11-Feb-17,7,2,Saturday,1,6,0,100,70,70,30
249,11-Feb-17,8,2,Saturday,1,6,0,100,60,60,40
250,11-Feb-17,9,2,Saturday,1,6,0,100,50,50,50
251,11-Feb-17,10,2,Saturday,1,6,0,100,40,40,60
252,11-Feb-17,11,2,Saturday,1,6,0,100,30,30,70
253,11-Feb-17,12,2,Saturday,1,6,0,100,20,20,80
254,11-Feb-17,13,2,Saturday,1,6,0,100,20,20,80
255,11-Feb-17,14,2,Saturday,1,6,0,100,20,20,80
256,11-Feb-17,15,2,Saturday,1,6,0,100,20,20,80
257,11-Feb-17,16,2,Saturday,1,6,0,100,20,20,80
258,11-Feb-17,17,2,Saturday,1,6,0,100,38,38,62
259,11-Feb-17,18,2,Saturday,1,6,0,100,60,60,40
260,11-Feb-17,19,2,Saturday,1,6,0,100,72,72,28
261,11-Feb-17,20,2,Saturday,1,6,0,100,80,80,20
262,11-Feb-17,21,2,Saturday,1,6,0,100,90,90,10
263,11-Feb-17,22,2,Saturday,1,6,0,100,96,96,4
264,11-Feb-17,23,2,Saturday,1,6,0,100,96,96,4
265,12-Feb-17,0,2,Sunday,1,7,0,100,96,96,4
266,12-Feb-17,1,2,Sunday,1,7,0,100,96,96,4
267,12-Feb-17,2,2,Sunday,1,7,0,100,96,96,4
268,12-Feb-17,3,2,Sunday,1,7,0,100,96,96,4
269,12-Feb-17,4,2,Sunday,1,7,0,100,96,96,4
270,12-Feb-17,5,2,Sunday,1,7,0,100,96,96,4
271,12-Feb-17,6,2,Sunday,1,7,0,100,90,90,10
272,12-Feb-17,7,2,Sunday,1,7,0,100,80,80,20
273,12-Feb-17,8,2,Sunday,1,7,0,100,60,60,40
274,12-Feb-17,9,2,Sunday,1,7,0,100,55,55,45
275,12-Feb-17,10,2,Sunday,1,7,0,100,45,45,55
276,12-Feb-17,11,2,Sunday,1,7,0,100,45,45,55
277,12-Feb-17,12,2,Sunday,1,7,0,100,45,45,55
278,12-Feb-17,13,2,Sunday,1,7,0,100,45,45,55
279,12-Feb-17,14,2,Sunday,1,7,0,100,45,45,55
280,12-Feb-17,15,2,Sunday,1,7,0,100,45,45,55
281,12-Feb-17,16,2,Sunday,1,7,0,100,56,56,44
282,12-Feb-17,17,2,Sunday,1,7,0,100,68,68,32
283,12-Feb-17,18,2,Sunday,1,7,0,100,70,70,30
284,12-Feb-17,19,2,Sunday,1,7,0,100,78,78,22
285,12-Feb-17,20,2,Sunday,1,7,0,100,80,80,20
286,12-Feb-17,21,2,Sunday,1,7,0,100,90,90,10
287,12-Feb-17,22,2,Sunday,1,7,0,100,97,97,3
288,12-Feb-17,23,2,Sunday,1,7,0,100,97,97,3
289,13-Feb-17,0,2,Monday,0,1,1,100,97,97,3
290,13-Feb-17,1,2,Monday,0,1,1,100,97,97,3
291,13-Feb-17,2,2,Monday,0,1,1,100,97,97,3
292,13-Feb-17,3,2,Monday,0,1,1,100,97,97,3
293,13-Feb-17,4,2,Monday,0,1,1,100,97,97,3
294,13-Feb-17,5,2,Monday,0,1,1,100,97,97,3
295,13-Feb-17,6,2,Monday,0,1,1,100,80,80,20
296,13-Feb-17,7,2,Monday,0,1,1,100,60,60,40
297,13-Feb-17,8,2,Monday,0,1,1,100,12,12,88
298,13-Feb-17,9,2,Monday,0,1,1,100,10,10,90
299,13-Feb-17,10,2,Monday,0,1,1,100,0,0,100
300,13-Feb-17,11,2,Monday,0,1,1,100,0,0,100
301,13-Feb-17,12,2,Monday,0,1,1,100,0,0,100
302,13-Feb-17,13,2,Monday,0,1,1,100,0,0,100
303,13-Feb-17,14,2,Monday,0,1,1,100,0,0,100
304,13-Feb-17,15,2,Monday,0,1,1,100,3,3,97
305,13-Feb-17,16,2,Monday,0,1,1,100,5,5,95
306,13-Feb-17,17,2,Monday,0,1,1,100,6,6,94
307,13-Feb-17,18,2,Monday,0,1,1,100,14,14,86
308,13-Feb-17,19,2,Monday,0,1,1,100,28,28,72
309,13-Feb-17,20,2,Monday,0,1,1,100,30,30,70
310,13-Feb-17,21,2,Monday,0,1,1,100,37,37,63
311,13-Feb-17,22,2,Monday,0,1,1,100,80,80,20
312,13-Feb-17,23,2,Monday,0,1,1,100,99,99,1
313,14-Feb-17,0,2,Tuesday,0,2,1,100,99,99,1
314,14-Feb-17,1,2,Tuesday,0,2,1,100,99,99,1
315,14-Feb-17,2,2,Tuesday,0,2,1,100,99,99,1
316,14-Feb-17,3,2,Tuesday,0,2,1,100,99,99,1
317,14-Feb-17,4,2,Tuesday,0,2,1,100,99,99,1
318,14-Feb-17,5,2,Tuesday,0,2,1,100,99,99,1
319,14-Feb-17,6,2,Tuesday,0,2,1,100,80,80,20
320,14-Feb-17,7,2,Tuesday,0,2,1,100,75,75,25
321,14-Feb-17,8,2,Tuesday,0,2,1,100,30,30,70
322,14-Feb-17,9,2,Tuesday,0,2,1,100,10,10,90
323,14-Feb-17,10,2,Tuesday,0,2,1,100,0,0,100
324,14-Feb-17,11,2,Tuesday,0,2,1,100,0,0,100
325,14-Feb-17,12,2,Tuesday,0,2,1,100,0,0,100
326,14-Feb-17,13,2,Tuesday,0,2,1,100,0,0,100
327,14-Feb-17,14,2,Tuesday,0,2,1,100,0,0,100
328,14-Feb-17,15,2,Tuesday,0,2,1,100,2,2,98
329,14-Feb-17,16,2,Tuesday,0,2,1,100,2,2,98
330,14-Feb-17,17,2,Tuesday,0,2,1,100,2,2,98
331,14-Feb-17,18,2,Tuesday,0,2,1,100,2,2,98
332,14-Feb-17,19,2,Tuesday,0,2,1,100,10,10,90
333,14-Feb-17,20,2,Tuesday,0,2,1,100,20,20,80
334,14-Feb-17,21,2,Tuesday,0,2,1,100,40,40,60
335,14-Feb-17,22,2,Tuesday,0,2,1,100,80,80,20
336,14-Feb-17,23,2,Tuesday,0,2,1,100,98,98,2
337,15-Feb-17,0,2,Wednesday,0,3,1,100,98,98,2
338,15-Feb-17,1,2,Wednesday,0,3,1,100,98,98,2
339,15-Feb-17,2,2,Wednesday,0,3,1,100,98,98,2
340,15-Feb-17,3,2,Wednesday,0,3,1,100,98,98,2
341,15-Feb-17,4,2,Wednesday,0,3,1,100,98,98,2
342,15-Feb-17,5,2,Wednesday,0,3,1,100,98,98,2
343,15-Feb-17,6,2,Wednesday,0,3,1,100,80,80,20
344,15-Feb-17,7,2,Wednesday,0,3,1,100,60,60,40
345,15-Feb-17,8,2,Wednesday,0,3,1,100,12,12,88
346,15-Feb-17,9,2,Wednesday,0,3,1,100,10,10,90
347,15-Feb-17,10,2,Wednesday,0,3,1,100,0,0,100
348,15-Feb-17,11,2,Wednesday,0,3,1,100,0,0,100
349,15-Feb-17,12,2,Wednesday,0,3,1,100,0,0,100
350,15-Feb-17,13,2,Wednesday,0,3,1,100,0,0,100
351,15-Feb-17,14,2,Wednesday,0,3,1,100,0,0,100
352,15-Feb-17,15,2,Wednesday,0,3,1,100,3,3,97
353,15-Feb-17,16,2,Wednesday,0,3,1,100,5,5,95
354,15-Feb-17,17,2,Wednesday,0,3,1,100,6,6,94
355,15-Feb-17,18,2,Wednesday,0,3,1,100,14,14,86
356,15-Feb-17,19,2,Wednesday,0,3,1,100,28,28,72
357,15-Feb-17,20,2,Wednesday,0,3,1,100,30,30,70
358,15-Feb-17,21,2,Wednesday,0,3,1,100,37,37,63
359,15-Feb-17,22,2,Wednesday,0,3,1,100,80,80,20
360,15-Feb-17,23,2,Wednesday,0,3,1,100,98,98,2
361,16-Feb-17,0,2,Thursday,0,4,1,100,98,98,2
362,16-Feb-17,1,2,Thursday,0,4,1,100,98,98,2
363,16-Feb-17,2,2,Thursday,0,4,1,100,98,98,2
364,16-Feb-17,3,2,Thursday,0,4,1,100,98,98,2
365,16-Feb-17,4,2,Thursday,0,4,1,100,98,98,2
366,16-Feb-17,5,2,Thursday,0,4,1,100,98,98,2
367,16-Feb-17,6,2,Thursday,0,4,1,100,80,80,20
368,16-Feb-17,7,2,Thursday,0,4,1,100,60,60,40
369,16-Feb-17,8,2,Thursday,0,4,1,100,12,12,88
370,16-Feb-17,9,2,Thursday,0,4,1,100,10,10,90
371,16-Feb-17,10,2,Thursday,0,4,1,100,0,0,100
372,16-Feb-17,11,2,Thursday,0,4,1,100,0,0,100
373,16-Feb-17,12,2,Thursday,0,4,1,100,0,0,100
374,16-Feb-17,13,2,Thursday,0,4,1,100,0,0,100
375,16-Feb-17,14,2,Thursday,0,4,1,100,0,0,100
376,16-Feb-17,15,2,Thursday,0,4,1,100,3,3,97
377,16-Feb-17,16,2,Thursday,0,4,1,100,5,5,95
378,16-Feb-17,17,2,Thursday,0,4,1,100,6,6,94
379,16-Feb-17,18,2,Thursday,0,4,1,100,14,14,86
380,16-Feb-17,19,2,Thursday,0,4,1,100,28,28,72
381,16-Feb-17,20,2,Thursday,0,4,1,100,30,30,70
382,16-Feb-17,21,2,Thursday,0,4,1,100,37,37,63
383,16-Feb-17,22,2,Thursday,0,4,1,100,80,80,20
384,16-Feb-17,23,2,Thursday,0,4,1,100,95,95,5
385,17-Feb-17,0,2,Friday,0,5,1,100,95,95,5
386,17-Feb-17,1,2,Friday,0,5,1,100,95,95,5
387,17-Feb-17,2,2,Friday,0,5,1,100,95,95,5
388,17-Feb-17,3,2,Friday,0,5,1,100,95,95,5
389,17-Feb-17,4,2,Friday,0,5,1,100,95,95,5
390,17-Feb-17,5,2,Friday,0,5,1,100,95,95,5
391,17-Feb-17,6,2,Friday,0,5,1,100,80,80,20
392,17-Feb-17,7,2,Friday,0,5,1,100,60,60,40
393,17-Feb-17,8,2,Friday,0,5,1,100,12,12,88
394,17-Feb-17,9,2,Friday,0,5,1,100,10,10,90
395,17-Feb-17,10,2,Friday,0,5,1,100,0,0,100
396,17-Feb-17,11,2,Friday,0,5,1,100,0,0,100
397,17-Feb-17,12,2,Friday,0,5,1,100,0,0,100
398,17-Feb-17,13,2,Friday,0,5,1,100,0,0,100
399,17-Feb-17,14,2,Friday,0,5,1,100,0,0,100
400,17-Feb-17,15,2,Friday,0,5,1,100,3,3,97
401,17-Feb-17,16,2,Friday,0,5,1,100,5,5,95
402,17-Feb-17,17,2,Friday,0,5,1,100,6,6,94
403,17-Feb-17,18,2,Friday,0,5,1,100,14,14,86
404,17-Feb-17,19,2,Friday,0,5,1,100,28,28,72
405,17-Feb-17,20,2,Friday,0,5,1,100,30,30,70
406,17-Feb-17,21,2,Friday,0,5,1,100,37,37,63
407,17-Feb-17,22,2,Friday,0,5,1,100,80,80,20
408,17-Feb-17,23,2,Friday,0,5,1,100,95,95,5
409,18-Feb-17,0,2,Saturday,1,6,0,100,95,95,5
410,18-Feb-17,1,2,Saturday,1,6,0,100,95,95,5
411,18-Feb-17,2,2,Saturday,1,6,0,100,95,95,5
412,18-Feb-17,3,2,Saturday,1,6,0,100,95,95,5
413,18-Feb-17,4,2,Saturday,1,6,0,100,95,95,5
414,18-Feb-17,5,2,Saturday,1,6,0,100,95,95,5
415,18-Feb-17,6,2,Saturday,1,6,0,100,80,80,20
416,18-Feb-17,7,2,Saturday,1,6,0,100,70,70,30
417,18-Feb-17,8,2,Saturday,1,6,0,100,60,60,40
418,18-Feb-17,9,2,Saturday,1,6,0,100,50,50,50
419,18-Feb-17,10,2,Saturday,1,6,0,100,40,40,60
420,18-Feb-17,11,2,Saturday,1,6,0,100,30,30,70
